Origin,Destination,Flight Number
Abu Dhabi,Srinagar,G8 76
Abu Dhabi,Srinagar,G8 76
Abu Dhabi,Srinagar,G8 6
Abu Dhabi,Srinagar,G8 6
Abu Dhabi,Srinagar,G8 76
Abu Dhabi,Srinagar,G8 76
Abu Dhabi,Srinagar,G8 76
Abu Dhabi,Srinagar,G8 76
Abu Dhabi,Srinagar,G8 76
Abu Dhabi,Srinagar,G8 76
Abu Dhabi,Varanasi,G8 6
Abu Dhabi,Varanasi,G8 6
Abu Dhabi,Varanasi,G8 6
Abu Dhabi,Varanasi,G8 4
Abu Dhabi,Varanasi,G8 6
Ahmedabad,Abu Dhabi,G8 2505
Ahmedabad,Abu Dhabi,G8 459
Ahmedabad,Abu Dhabi,G8 720
Ahmedabad,Abu Dhabi,G8 720
Ahmedabad,Abu Dhabi,G8 2505
Ahmedabad,Abu Dhabi,G8 459
Ahmedabad,Abu Dhabi,G8 2505
Ahmedabad,Abu Dhabi,G8 459
Ahmedabad,Abu Dhabi,G8 720
Ahmedabad,Amritsar,G8 537
Ahmedabad,Amritsar,G8 684
Ahmedabad,Amritsar,G8 537
Ahmedabad,Amritsar,G8 684
Ahmedabad,Amritsar,G8 537
Ahmedabad,Amritsar,G8 684
Ahmedabad,Amritsar,G8 2505
Ahmedabad,Amritsar,G8 684
Ahmedabad,Amritsar,G8 459
Ahmedabad,Bagdogra,G8 718
Ahmedabad,Bagdogra,G8 714
Ahmedabad,Bagdogra,G8 720
Ahmedabad,Bagdogra,G8 718
Ahmedabad,Bagdogra,G8 718
Ahmedabad,Bagdogra,G8 714
Ahmedabad,Bagdogra,G8 718
Ahmedabad,Bagdogra,G8 720
Ahmedabad,Bagdogra,G8 718
Ahmedabad,Bagdogra,G8 718
Ahmedabad,Bagdogra,G8 714
Ahmedabad,Bagdogra,G8 718
Ahmedabad,Bagdogra,G8 720
Ahmedabad,Bangkok,G8 718
Ahmedabad,Bangkok,G8 714
Ahmedabad,Bangkok,G8 718
Ahmedabad,Bangkok,G8 718
Ahmedabad,Bangkok,G8 718
Ahmedabad,Bangkok,G8 714
Ahmedabad,Bangkok,G8 714
Ahmedabad,Bangkok,G8 718
Ahmedabad,Bangkok,G8 718
Ahmedabad,Bangkok,G8 714
Ahmedabad,Bangkok,G8 718
Ahmedabad,Bangkok,G8 2505
Ahmedabad,Bangkok,G8 684
Ahmedabad,Bangkok,G8 2505
Ahmedabad,Bangkok,G8 684
Ahmedabad,Bengaluru,G8 767
Ahmedabad,Bengaluru,G8 537
Ahmedabad,Bengaluru,G8 718
Ahmedabad,Bengaluru,G8 767
Ahmedabad,Bengaluru,G8 714
Ahmedabad,Bengaluru,G8 720
Ahmedabad,Bengaluru,G8 718
Ahmedabad,Bengaluru,G8 537
Ahmedabad,Bengaluru,G8 718
Ahmedabad,Bengaluru,G8 714
Ahmedabad,Bengaluru,G8 718
Ahmedabad,Bengaluru,G8 720
Ahmedabad,Bengaluru,G8 2505
Ahmedabad,Bengaluru,G8 684
Ahmedabad,Bengaluru,G8 767
Ahmedabad,Bengaluru,G8 767
Ahmedabad,Bengaluru,G8 718
Ahmedabad,Bengaluru,G8 537
Ahmedabad,Bengaluru,G8 718
Ahmedabad,Bengaluru,G8 2505
Ahmedabad,Bengaluru,G8 2505
Ahmedabad,Bengaluru,G8 684
Ahmedabad,Bengaluru,G8 684
Ahmedabad,Bengaluru,G8 767
Ahmedabad,Bengaluru,G8 714
Ahmedabad,Bengaluru,G8 718
Ahmedabad,Bengaluru,G8 720
Ahmedabad,Bengaluru,G8 2505
Ahmedabad,Bengaluru,G8 767
Ahmedabad,Bengaluru,G8 684
Ahmedabad,Bengaluru,G8 684
Ahmedabad,Bengaluru,G8 804
Ahmedabad,Chandigarh,G8 911
Ahmedabad,Chandigarh,G8 911
Ahmedabad,Chennai,G8 537
Ahmedabad,Chennai,G8 684
Ahmedabad,Chennai,G8 2505
Ahmedabad,Chennai,G8 684
Ahmedabad,Chennai,G8 684
Ahmedabad,Chennai,G8 537
Ahmedabad,Chennai,G8 684
Ahmedabad,Chennai,G8 684
Ahmedabad,Chennai,G8 537
Ahmedabad,Chennai,G8 2505
Ahmedabad,Chennai,G8 684
Ahmedabad,Chennai,G8 684
Ahmedabad,Chennai,G8 684
Ahmedabad,Chennai,G8 2505
Ahmedabad,Chennai,G8 684
Ahmedabad,Dehra Dun,G8 459
Ahmedabad,Dehra Dun,G8 459
Ahmedabad,Dehra Dun,G8 459
Ahmedabad,Delhi,G8 718
Ahmedabad,Delhi,G8 714
Ahmedabad,Delhi,G8 720
Ahmedabad,Delhi,G8 718
Ahmedabad,Delhi,G8 718
Ahmedabad,Delhi,G8 714
Ahmedabad,Delhi,G8 718
Ahmedabad,Delhi,G8 720
Ahmedabad,Delhi,G8 718
Ahmedabad,Delhi,G8 718
Ahmedabad,Delhi,G8 714
Ahmedabad,Delhi,G8 718
Ahmedabad,Delhi,G8 720
Ahmedabad,Goa,G8 537
Ahmedabad,Goa,G8 537
Ahmedabad,Goa,G8 537
Ahmedabad,Goa,G8 2505
Ahmedabad,Goa,G8 2505
Ahmedabad,Goa,G8 459
Ahmedabad,Goa,G8 459
Ahmedabad,Goa,G8 1914
Ahmedabad,Goa,G8 459
Ahmedabad,Goa,G8 684
Ahmedabad,Goa,G8 1914
Ahmedabad,Goa,G8 459
Ahmedabad,Goa,G8 684
Ahmedabad,Goa-New Goa,G8 804
Ahmedabad,Guwahati,G8 720
Ahmedabad,Guwahati,G8 720
Ahmedabad,Guwahati,G8 720
Ahmedabad,Hyderabad,G8 720
Ahmedabad,Hyderabad,G8 720
Ahmedabad,Hyderabad,G8 720
Ahmedabad,Jammu,G8 720
Ahmedabad,Jammu,G8 720
Ahmedabad,Jammu,G8 720
Ahmedabad,Jeddah,G8 2505
Ahmedabad,Jeddah,G8 459
Ahmedabad,Jeddah,G8 2505
Ahmedabad,Jeddah,G8 459
Ahmedabad,Kannur,G8 459
Ahmedabad,Kannur,G8 459
Ahmedabad,Kannur,G8 459
Ahmedabad,Kannur,G8 459
Ahmedabad,Kannur,G8 459
Ahmedabad,Kannur,G8 459
Ahmedabad,Kochi,G8 537
Ahmedabad,Kochi,G8 537
Ahmedabad,Kochi,G8 537
Ahmedabad,Kochi,G8 684
Ahmedabad,Kochi,G8 2505
Ahmedabad,Kochi,G8 459
Ahmedabad,Kolkata,G8 718
Ahmedabad,Kolkata,G8 714
Ahmedabad,Kolkata,G8 718
Ahmedabad,Kolkata,G8 718
Ahmedabad,Kolkata,G8 714
Ahmedabad,Kolkata,G8 718
Ahmedabad,Kolkata,G8 718
Ahmedabad,Kolkata,G8 718
Ahmedabad,Kolkata,G8 714
Ahmedabad,Kolkata,G8 714
Ahmedabad,Kolkata,G8 718
Ahmedabad,Kuwait,G8 2505
Ahmedabad,Kuwait,G8 459
Ahmedabad,Kuwait,G8 2505
Ahmedabad,Kuwait,G8 459
Ahmedabad,Leh,G8 537
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 537
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 537
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 684
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 714
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Leh,G8 718
Ahmedabad,Lucknow,G8 2505
Ahmedabad,Lucknow,G8 459
Ahmedabad,Mumbai,G8 537
Ahmedabad,Mumbai,G8 537
Ahmedabad,Mumbai,G8 537
Ahmedabad,Mumbai,G8 2505
Ahmedabad,Mumbai,G8 459
Ahmedabad,Mumbai,G8 684
Ahmedabad,Nagpur,G8 537
Ahmedabad,Nagpur,G8 720
Ahmedabad,Nagpur,G8 537
Ahmedabad,Nagpur,G8 720
Ahmedabad,Nagpur,G8 537
Ahmedabad,Nagpur,G8 720
Ahmedabad,Nagpur,G8 2505
Ahmedabad,Nagpur,G8 684
